patent_id,year,title,abstract,status,is_genuine_ai,false_positive_reason,ai_technique,application_domain,data_modality,innovation_orientation,core_ai_task,contribution_type,training_paradigm,is_llm_related,confidence,reasoning,v4_is_genuine_ai,v4_ai_technique,v4_innovation_orientation,raw_response
129-136-140-707-755,2011.0,TARGET CONTENT DISTRIBUTION FOR TELEPHONE CALLS,"Embodiments of the invention address deficiencies of the art in respect to content delivery over a telephone call and provide a method, system and computer program product for delivering targeted content to a caller during call processing of an inbound telephone call. In an embodiment of the inventi...",success,False,The invention focuses on content delivery over telephone calls without involving AI/ML methods.,,consumer_electronics,,,,,,False,high,The patent does not involve AI techniques but rather focuses on a method for content delivery in a telecommunication context.,False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The invention focuses on content delivery over telephone calls without involving AI/ML methods."",
  ""ai_technique"": null,
  ""application_domain"": ""consumer_electronics"",
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The patent does not involve AI techniques but rather focuses on a method for content delivery in a telecommunication context.""
}"
078-350-896-246-177,2011.0,"System for viewing and indexing mark up language messages, forms and documents","A system for viewing and indexing mark up language messages, forms, and documents that have been stored in a document repository. The viewer and indexer can search the document repository based on any of a variety of search parameters, including any field of each message, form or document in the doc...",success,False,The patent describes a system for viewing and indexing documents without involving AI/ML methods.,,,,,,,,False,high,"The invention focuses on document indexing and retrieval, which does not involve AI techniques.",False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent describes a system for viewing and indexing documents without involving AI/ML methods."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The invention focuses on document indexing and retrieval, which does not involve AI techniques.""
}"
065-257-696-453-675,2011.0,SEARCH ADVERTISEMENT TARGETING,"Described is processing the search results obtained from a search engine to determine advertisements that match properties of those search results. For example, the URL-related information or domain-related information in the search results may be used to select an advertisement. Also described are ...",success,False,The patent focuses on advertisement targeting using search results without a core AI/ML learning component.,,finance_business,,,,,,False,high,The invention primarily addresses advertisement targeting rather than a novel AI technique or method.,False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent focuses on advertisement targeting using search results without a core AI/ML learning component."",
  ""ai_technique"": null,
  ""application_domain"": ""finance_business"",
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The invention primarily addresses advertisement targeting rather than a novel AI technique or method.""
}"
180-463-482-009-989,2011.0,Methods and apparatus for data analysis,A method and apparatus for data analysis according to various aspects of the present invention is configured to automatically identify a characteristic of a fabrication process for components based on test data for the components.,success,False,The invention focuses on data analysis without a core AI/ML learning component.,,,,,,,,False,high,The patent does not involve AI techniques but rather focuses on data analysis methods.,False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The invention focuses on data analysis without a core AI/ML learning component."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The patent does not involve AI techniques but rather focuses on data analysis methods.""
}"
183-544-627-874-740,2011.0,Method of retrieving information associated with an object present in a media stream,The subject invention provides a method of retrieving information (10) associated with an object (12) present in a media stream (14). The method includes the steps of accessing the information (10) during playback of the media stream (14) on any device and defining user-selectable regions (18) in a ...,success,False,The invention focuses on retrieving information from a media stream without involving AI/ML methods.,,,,,,,,False,high,"The patent does not describe any AI techniques or methods, focusing instead on a user interface for information retrieval.",False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The invention focuses on retrieving information from a media stream without involving AI/ML methods."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The patent does not describe any AI techniques or methods, focusing instead on a user interface for information retrieval.""
}"
094-806-986-457-325,2011.0,Performing collective operations using software setup and partial software execution at leaf nodes in a multi-tiered full-graph interconnect architecture,"A mechanism for performing collective operations. In software executing on a parent processor in a first processor book, a number of other processors are determined in a same or different processor book of the data processing system that is needed to execute the collective operation, thereby establi...",success,False,The patent describes a mechanism for collective operations in a multi-tiered architecture without involving AI/ML methods.,,,,,,,,False,high,The invention focuses on a hardware and software mechanism for collective operations rather than an AI technique.,False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent describes a mechanism for collective operations in a multi-tiered architecture without involving AI/ML methods."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The invention focuses on a hardware and software mechanism for collective operations rather than an AI technique.""
}"
116-348-092-058-000,2012.0,"VIDEO ENCODING DEVICE, VIDEO ENCODING METHOD, VIDEO ENCODING PROGRAM, VIDEO DECODING DEVICE, VIDEO DECODING METHOD, AND VIDEO DECODING PROGRAM","A video encoding device including a region division section for dividing a frame image constituting video data into a plurality of regions as encoding target regions, an encoding section for encoding an image of each region, an inverse transformation section and an addition section for generating re...",success,False,The patent focuses on video encoding and decoding methods without involving AI/ML techniques.,,consumer_electronics,image_video,,,,,False,high,"The invention is centered around video encoding and decoding processes, which do not involve AI methodologies.",False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent focuses on video encoding and decoding methods without involving AI/ML techniques."",
  ""ai_technique"": null,
  ""application_domain"": ""consumer_electronics"",
  ""data_modality"": ""image_video"",
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The invention is centered around video encoding and decoding processes, which do not involve AI methodologies.""
}"
198-810-268-241-477,2012.0,Pattern detecting method and related image processing apparatus,The present invention discloses an image processing apparatus for processing an image. The image processing apparatus includes a line-pattern detecting module and an image processing module. The line-pattern detecting module examines how a first plurality of pixels of a first pixel line change and h...,success,False,The invention focuses on image processing techniques without involving AI/ML methods.,,computer_vision_imaging,image_video,,,,,False,high,The patent describes a method for image processing that does not involve AI techniques.,False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The invention focuses on image processing techniques without involving AI/ML methods."",
  ""ai_technique"": null,
  ""application_domain"": ""computer_vision_imaging"",
  ""data_modality"": ""image_video"",
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The patent describes a method for image processing that does not involve AI techniques.""
}"
007-394-068-583-492,2012.0,"DRAWING APPARATUS, DRAWING METHOD, AND DRAWING PROGRAM","A drawing apparatus includes a segment setter configured to analyze outline data and to set a straight line segment for drawing a straight line portion and a curved line segment for drawing a curved line portion, in the outline data; a first stencil generator configured to generate stencil data of t...",success,False,The patent describes a drawing apparatus and method that does not involve AI/ML techniques but rather focuses on image processing and stencil generation.,,,,,,,,False,high,"The invention is focused on a drawing method and apparatus, which does not involve AI techniques.",False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent describes a drawing apparatus and method that does not involve AI/ML techniques but rather focuses on image processing and stencil generation."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The invention is focused on a drawing method and apparatus, which does not involve AI techniques.""
}"
041-419-999-167-519,2012.0,USER DATA STORE,"A computer system for generating a user data store and analyzing the user data store comprises a memory and a processing circuit. The memory is configured to store a user data store comprising a plurality of graphs, each graph having a user identity node. The processing circuit is configured to, for...",success,False,The patent describes a system for data storage and analysis without a core AI/ML learning component.,,,,,,,,False,high,The invention focuses on data storage and graph generation rather than AI techniques or learning methods.,False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent describes a system for data storage and analysis without a core AI/ML learning component."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The invention focuses on data storage and graph generation rather than AI techniques or learning methods.""
}"
025-162-163-435-607,2012.0,CREATING AN ONTOLOGY USING AN ONLINE ENCYCLOPEDIA AND TAG CLOUD,"A method for generating an ontology may include selecting, by a processing device, a tag in a tag cloud. The method may also include searching, by the processing device, an online encyclopedia for content corresponding to the selected tag and determining, by the processing device, at least one categ...",success,False,"The patent describes a method for generating an ontology using a tag cloud and online encyclopedia, which does not involve AI/ML methods.",,,,,,,,False,high,"The innovation does not involve AI techniques or learning components, focusing instead on ontology generation.",False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent describes a method for generating an ontology using a tag cloud and online encyclopedia, which does not involve AI/ML methods."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The innovation does not involve AI techniques or learning components, focusing instead on ontology generation."" 
}"
098-744-703-290-460,2012.0,"Object position estimating system, object position estimating apparatus, object position estimating method, and object position estimating program","A plurality of pieces of observation raw data observed by an observation unit are subjected to an object identifying process, and by using a parameter determined by a parameter determination unit in accordance with a period of time between a point of object identifying process completion time of one...",success,False,The patent describes a system for estimating object positions without a core AI/ML learning component.,,,,,,,,False,high,The invention focuses on object position estimation using observation data rather than AI techniques.,True,neural_network_general,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent describes a system for estimating object positions without a core AI/ML learning component."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The invention focuses on object position estimation using observation data rather than AI techniques.""
}"
080-738-726-167-815,2012.0,ENHANCED CALLER ID WITH RECIPIENT-SELECTED CALLER INFORMATION DISPLAY,A method includes receiving an incoming call at a first device. The method includes determining whether second caller identification information is available at the first device based on first caller identification information received with the incoming call. The method further includes retrieving t...,success,False,The patent describes a method for enhancing caller ID functionality without involving AI/ML techniques.,,,,,,,,False,high,"The invention focuses on a method for caller ID enhancement, which does not involve AI or machine learning components.",False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent describes a method for enhancing caller ID functionality without involving AI/ML techniques."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The invention focuses on a method for caller ID enhancement, which does not involve AI or machine learning components.""
}"
104-876-072-078-964,2013.0,Aligning Scripts To Dialogues For Unmatched Portions Based On Matched Portions,"Provided in some embodiments is a computer implemented method that includes providing script data including script words indicative of dialogue words to be spoken, providing recorded dialogue audio data corresponding to at least a portion of the dialogue words to be spoken, wherein the recorded dial...",success,False,"The patent describes a method for aligning scripts to dialogues based on audio data, which does not involve a learning component.",,,,,,,,False,low,"The innovation does not introduce a new AI technique or learning method, but rather focuses on a specific application of audio processing.",True,speech_audio,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent describes a method for aligning scripts to dialogues based on audio data, which does not involve a learning component."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""low"",
  ""reasoning"": ""The innovation does not introduce a new AI technique or learning method, but rather focuses on a specific application of audio processing.""
}"
184-161-091-142-047,2013.0,"IMAGE SENSOR, IMAGE SENSING METHOD, AND IMAGE CAPTURING APPARATUS INCLUDING THE IMAGE SENSOR","An image sensor that includes a pixel array including pixels that sample a plurality of modulation signals having different phases from the reflected light and that output pixel output signals corresponding to the plurality of modulation signals, the output pixel output signals being used to generat...",success,False,The patent describes an image sensor and methods related to image capturing without involving AI/ML techniques.,,,,,,,,False,high,The invention focuses on hardware and signal processing for image capturing rather than AI methods.,False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent describes an image sensor and methods related to image capturing without involving AI/ML techniques."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The invention focuses on hardware and signal processing for image capturing rather than AI methods.""
}"
058-517-154-012-562,2013.0,XML printer system,"An XML processing system for use in a barcode printer apparatus includes a computer system operatively coupled to the barcode printer apparatus. The computer system further includes an XML processor configured to receive, parse, and process an XML input data stream and obtain schema identified in th...",success,False,"The patent describes a system for processing XML data for barcode printing, which does not involve AI/ML methods.",,,,,,,,False,high,"The invention focuses on XML processing for barcode printing, which is not an AI-related innovation.",False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent describes a system for processing XML data for barcode printing, which does not involve AI/ML methods."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The invention focuses on XML processing for barcode printing, which is not an AI-related innovation.""
}"
059-063-252-909-456,2013.0,"DISPLAY APPARATUS, INTERACTIVE SERVER, AND METHOD FOR PROVIDING RESPONSE INFORMATION","A display apparatus, an interactive server, and a method for providing response information are provided. The display apparatus includes: a voice collector which collects a user's uttered voice, a communication unit which communicates with an interactive server; and, a controller which, if response ...",success,False,The patent describes a display apparatus and server interaction without a core AI/ML learning component.,,,,,,,,False,high,The invention primarily focuses on hardware and server interaction rather than a novel AI technique or method.,True,speech_audio,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent describes a display apparatus and server interaction without a core AI/ML learning component."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The invention primarily focuses on hardware and server interaction rather than a novel AI technique or method.""
}"
159-203-136-888-835,2013.0,"TARGET OBJECT GRIPPING APPARATUS, METHOD FOR CONTROLLING THE SAME AND STORAGE MEDIUM",A target object gripping apparatus comprises: an estimation unit configured to estimate an orientation of a target object based on orientation estimation parameters; a gripping unit configured to grip the target object based on the orientation of the target object estimated by the estimation unit; a...,success,False,The invention primarily involves mechanical control and detection systems without a core AI/ML learning component.,,robotics,,,,,,False,high,The patent focuses on a mechanical apparatus and control method rather than an AI-driven solution.,False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The invention primarily involves mechanical control and detection systems without a core AI/ML learning component."",
  ""ai_technique"": null,
  ""application_domain"": ""robotics"",
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The patent focuses on a mechanical apparatus and control method rather than an AI-driven solution.""
}"
164-324-398-585-238,2013.0,DOMINANT MOTION ESTIMATION FOR IMAGE SEQUENCE PROCESSING,"Herein is described a method of estimating dominant motion between a current frame n and another frame m of an image sequence having a plurality of frames, the method comprising generating integral projections of the images and using gradients of those projections and using differences between the p...",success,False,The patent describes a method for motion estimation in image sequences without involving AI/ML techniques.,,computer_vision_imaging,image_video,,,,,False,high,"The innovation does not involve AI methods, focusing instead on traditional image processing techniques.",False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent describes a method for motion estimation in image sequences without involving AI/ML techniques."",
  ""ai_technique"": null,
  ""application_domain"": ""computer_vision_imaging"",
  ""data_modality"": ""image_video"",
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The innovation does not involve AI methods, focusing instead on traditional image processing techniques.""
}"
094-634-223-747-57X,2013.0,DIGITAL PHOTOGRAPHING APPARATUS AND METHOD OF CONTROLLING THE SAME,"A digital photographing apparatus and associated method are provided, the apparatus comprising: a first display unit disposed on a rear surface of the digital photographing apparatus; a second display unit disposed on a front surface of the digital photographing apparatus; and a digital signal proce...",success,False,The invention primarily involves digital signal processing and face recognition without a learning component.,,consumer_electronics,image_video,,,,,False,high,"The patent focuses on a method of face recognition that does not involve AI/ML techniques, thus it is not classified as genuine AI.",True,computer_vision_cnn,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The invention primarily involves digital signal processing and face recognition without a learning component."",
  ""ai_technique"": null,
  ""application_domain"": ""consumer_electronics"",
  ""data_modality"": ""image_video"",
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The patent focuses on a method of face recognition that does not involve AI/ML techniques, thus it is not classified as genuine AI.""
}"
